Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,7000,Free Chlorine (mg/l),0.13342106928901065,4.0,0.05
42,7000,nitrati,-0.027755187049744667,4.0,0.05
42,7000,UV254,-0.08652285829423034,4.0,0.05
42,7000,Pressione (atm),-0.010176675471048585,4.0,0.075
42,7000,TOCeq (mg/l),0.065381646723975,4.0,0.075
42,7000,DOCeq (mg/l),0.0,4.0,0.075
42,7000,Turbidity (FTU),1.0528110152199166,4.0,0.075
42,7000,Conductivity (uS/cm),0.22466800875133872,4.0,0.075
42,7000,Temperature (°C),-0.1471069500559855,4.0,0.075
42,7000,pH,0.3152408870439677,4.0,0.075
42,7000,Free Chlorine (mg/l),0.12456129921807163,4.0,0.075
42,7000,nitrati,-0.0287938432087973,4.0,0.075
42,7000,UV254,-0.0898313321764512,4.0,0.075
42,7000,Pruned Events,0.0686725224767415,4.0,0.075
42,7000,Pressione (atm),-0.011903865375215483,5.0,0.05
42,7000,TOCeq (mg/l),0.07147547593192516,5.0,0.05
42,7000,DOCeq (mg/l),0.0,5.0,0.05
42,7000,Turbidity (FTU),1.1254175273198923,5.0,0.05
42,7000,Conductivity (uS/cm),0.22761309449634748,5.0,0.05
42,7000,Temperature (°C),-0.16275836778065478,5.0,0.05
42,7000,pH,0.32789768226563076,5.0,0.05
42,7000,Free Chlorine (mg/l),0.14201603181778455,5.0,0.05
42,7000,nitrati,-0.028978749494704026,5.0,0.05
42,7000,UV254,-0.08861789854746105,5.0,0.05
42,7000,Pressione (atm),-0.012238331068130092,5.0,0.075
42,7000,TOCeq (mg/l),0.06760960268595899,5.0,0.075
42,7000,DOCeq (mg/l),0.0,5.0,0.075
42,7000,Turbidity (FTU),1.091484180140118,5.0,0.075
42,7000,Conductivity (uS/cm),0.2310226658033939,5.0,0.075
42,7000,Temperature (°C),-0.16106709109412312,5.0,0.075
42,7000,pH,0.32360856476284205,5.0,0.075
42,7000,Free Chlorine (mg/l),0.1357373349250303,5.0,0.075
42,7000,nitrati,-0.029485280362386537,5.0,0.075
42,7000,UV254,-0.09053501723304651,5.0,0.075
42,7000,Pruned Events,0.04602430207388819,5.0,0.075
42,7000,Pressione (atm),-0.004746754964192079,6.0,0.05
42,7000,TOCeq (mg/l),0.07350546008064629,6.0,0.05
42,7000,DOCeq (mg/l),0.0,6.0,0.05
42,7000,Turbidity (FTU),1.1253593711625949,6.0,0.05
42,7000,Conductivity (uS/cm),0.2335711768695281,6.0,0.05
42,7000,Temperature (°C),-0.17162630785079225,6.0,0.05
42,7000,pH,0.33138323397863545,6.0,0.05
42,7000,Free Chlorine (mg/l),0.12682734614326863,6.0,0.05
42,7000,nitrati,-0.0313917682284397,6.0,0.05
42,7000,UV254,-0.0876921858106341,6.0,0.05
42,7000,Pressione (atm),-0.005753452248043609,6.0,0.075
42,7000,TOCeq (mg/l),0.0698972755008278,6.0,0.075
42,7000,DOCeq (mg/l),0.0,6.0,0.075
42,7000,Turbidity (FTU),1.0818603483457425,6.0,0.075
42,7000,Conductivity (uS/cm),0.23819539887564425,6.0,0.075
42,7000,Temperature (°C),-0.17047728716381044,6.0,0.075
42,7000,pH,0.32773630013541505,6.0,0.075
42,7000,Free Chlorine (mg/l),0.11882181167602533,6.0,0.075
42,7000,nitrati,-0.03121980750371507,6.0,0.075
42,7000,UV254,-0.09004603756798678,6.0,0.075
42,7000,Pruned Events,0.05617502133051633,6.0,0.075
42,7000,Pressione (atm),0.004963695813740121,7.0,0.05
42,7000,TOCeq (mg/l),0.0741994384735356,7.0,0.05
42,7000,DOCeq (mg/l),0.0,7.0,0.05
42,7000,Turbidity (FTU),1.1041637668533915,7.0,0.05
