Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-14,1.3418786525726318,2.0
Sum of contribution of events ≤ t,-14,0.26545214653015137,2.0
Sum of contribution of events > t,-15,1.3867707252502441,2.0
Sum of contribution of events ≤ t,-15,0.22056007385253906,2.0
Sum of contribution of events > t,-16,1.4291770458221436,2.0
Sum of contribution of events ≤ t,-16,0.17815375328063965,2.0
Sum of contribution of events > t,-17,1.4791171550750732,2.0
Sum of contribution of events ≤ t,-17,0.12821364402770996,2.0
Sum of contribution of events > t,-18,1.5493237972259521,2.0
Sum of contribution of events ≤ t,-18,0.058007001876831055,2.0
Sum of contribution of events > t,-19,1.607330322265625,2.0
Sum of contribution of events ≤ t,-19,4.76837158203125e-07,2.0
Sum of contribution of events > t,0,0.0,3.0
Sum of contribution of events ≤ t,0,1.5653290748596191,3.0
Sum of contribution of events > t,-1,0.07535171508789062,3.0
Sum of contribution of events ≤ t,-1,1.4899773597717285,3.0
Sum of contribution of events > t,-2,0.42086291313171387,3.0
Sum of contribution of events ≤ t,-2,1.1444661617279053,3.0
Sum of contribution of events > t,-3,0.6114304065704346,3.0
Sum of contribution of events ≤ t,-3,0.9538986682891846,3.0
Sum of contribution of events > t,-4,0.713965654373169,3.0
Sum of contribution of events ≤ t,-4,0.8513634204864502,3.0
Sum of contribution of events > t,-5,0.8194077014923096,3.0
Sum of contribution of events ≤ t,-5,0.7459213733673096,3.0
Sum of contribution of events > t,-6,0.8808395862579346,3.0
Sum of contribution of events ≤ t,-6,0.6844894886016846,3.0
Sum of contribution of events > t,-7,0.932694673538208,3.0
Sum of contribution of events ≤ t,-7,0.6326344013214111,3.0
Sum of contribution of events > t,-8,0.9934051036834717,3.0
Sum of contribution of events ≤ t,-8,0.5719239711761475,3.0
Sum of contribution of events > t,-9,1.0408036708831787,3.0
Sum of contribution of events ≤ t,-9,0.5245254039764404,3.0
Sum of contribution of events > t,-10,1.101318597793579,3.0
Sum of contribution of events ≤ t,-10,0.46401047706604004,3.0
Sum of contribution of events > t,-11,1.1506626605987549,3.0
Sum of contribution of events ≤ t,-11,0.41466641426086426,3.0
Sum of contribution of events > t,-12,1.1969387531280518,3.0
Sum of contribution of events ≤ t,-12,0.3683903217315674,3.0
Sum of contribution of events > t,-13,1.2407591342926025,3.0
Sum of contribution of events ≤ t,-13,0.3245699405670166,3.0
Sum of contribution of events > t,-14,1.2933738231658936,3.0
Sum of contribution of events ≤ t,-14,0.2719552516937256,3.0
Sum of contribution of events > t,-15,1.3352711200714111,3.0
Sum of contribution of events ≤ t,-15,0.230057954788208,3.0
Sum of contribution of events > t,-16,1.3786582946777344,3.0
Sum of contribution of events ≤ t,-16,0.18667078018188477,3.0
